,Date,nyc_case_count,nyc_hospitalization_count,nyc_death_count,chi_case_count,chi_hospitalization_count,chi_death_count
0,2020-06-01,686.0,81.0,39.0,,,
1,2020-06-02,570.0,64.0,45.0,,,
2,2020-06-03,515.0,73.0,45.0,,,
3,2020-06-04,517.0,75.0,38.0,,,
4,2020-06-05,402.0,53.0,31.0,,,
5,2020-06-06,247.0,42.0,36.0,,,
6,2020-06-07,197.0,54.0,29.0,,,
7,2020-06-08,447.0,60.0,44.0,,,
8,2020-06-09,419.0,65.0,33.0,,,
9,2020-06-10,363.0,65.0,39.0,,,
10,2020-06-11,363.0,49.0,26.0,,,
11,2020-06-12,409.0,52.0,26.0,,,
12,2020-06-13,196.0,35.0,17.0,,,
13,2020-06-14,180.0,47.0,22.0,,,
14,2020-06-15,380.0,52.0,20.0,,,
15,2020-06-16,419.0,61.0,19.0,,,
16,2020-06-17,356.0,49.0,21.0,,,
17,2020-06-18,378.0,56.0,16.0,,,
18,2020-06-19,361.0,45.0,16.0,,,
19,2020-06-20,203.0,25.0,17.0,,,
20,2020-06-21,172.0,44.0,22.0,,,
21,2020-06-22,402.0,48.0,18.0,,,
22,2020-06-23,381.0,44.0,19.0,,,
23,2020-06-24,381.0,52.0,18.0,,,
24,2020-06-25,298.0,43.0,16.0,,,
25,2020-06-26,317.0,33.0,18.0,,,
26,2020-06-27,206.0,43.0,17.0,,,
27,2020-06-28,201.0,32.0,12.0,,,
28,2020-06-29,437.0,47.0,19.0,,,
29,2020-06-30,442.0,45.0,11.0,,,
30,2020-07-01,396.0,39.0,10.0,,,
31,2020-07-02,416.0,45.0,18.0,,,
32,2020-07-03,233.0,30.0,12.0,,,
33,2020-07-04,120.0,30.0,6.0,,,
34,2020-07-05,155.0,29.0,9.0,,,
35,2020-07-06,431.0,54.0,11.0,,,
36,2020-07-07,461.0,47.0,7.0,,,
37,2020-07-08,437.0,34.0,16.0,,,
38,2020-07-09,391.0,46.0,5.0,,,
39,2020-07-10,307.0,45.0,5.0,,,
40,2020-07-11,259.0,34.0,9.0,,,
41,2020-07-12,223.0,26.0,7.0,,,
42,2020-07-13,483.0,49.0,15.0,,,
43,2020-07-14,403.0,43.0,10.0,,,
44,2020-07-15,440.0,44.0,14.0,,,
45,2020-07-16,411.0,34.0,6.0,,,
46,2020-07-17,413.0,50.0,10.0,,,
47,2020-07-18,216.0,26.0,11.0,,,
48,2020-07-19,175.0,38.0,10.0,,,
49,2020-07-20,404.0,38.0,10.0,,,
50,2020-07-21,341.0,24.0,6.0,,,
51,2020-07-22,328.0,40.0,8.0,,,
52,2020-07-23,309.0,33.0,8.0,,,
53,2020-07-24,299.0,40.0,5.0,,,
54,2020-07-25,153.0,35.0,11.0,,,
55,2020-07-26,140.0,25.0,8.0,,,
56,2020-07-27,313.0,38.0,3.0,,,
57,2020-07-28,313.0,38.0,13.0,,,
58,2020-07-29,287.0,30.0,5.0,,,
59,2020-07-30,274.0,37.0,5.0,,,
60,2020-07-31,262.0,34.0,4.0,,,
61,2020-08-01,189.0,27.0,7.0,,,
62,2020-08-02,135.0,33.0,2.0,,,
63,2020-08-03,348.0,40.0,3.0,,,
64,2020-08-04,187.0,32.0,5.0,,,
65,2020-08-05,298.0,38.0,6.0,,,
66,2020-08-06,288.0,34.0,6.0,,,
67,2020-08-07,255.0,23.0,2.0,,,
68,2020-08-08,160.0,21.0,4.0,,,
69,2020-08-09,133.0,26.0,3.0,,,
70,2020-08-10,312.0,41.0,5.0,,,
71,2020-08-11,263.0,25.0,5.0,,,
72,2020-08-12,320.0,31.0,3.0,,,
73,2020-08-13,276.0,39.0,4.0,,,
74,2020-08-14,277.0,38.0,4.0,,,
75,2020-08-15,151.0,23.0,5.0,,,
76,2020-08-16,140.0,21.0,5.0,,,
77,2020-08-17,333.0,33.0,5.0,,,
78,2020-08-18,283.0,39.0,2.0,,,
79,2020-08-19,257.0,35.0,1.0,,,
80,2020-08-20,227.0,37.0,6.0,,,
81,2020-08-21,252.0,31.0,5.0,,,
82,,,,,233.0,63.0,20.0
83,,,,,247.0,48.0,25.0
84,,,,,280.0,50.0,21.0
85,,,,,319.0,30.0,15.0
86,,,,,337.0,41.0,17.0
87,,,,,170.0,38.0,20.0
88,,,,,110.0,31.0,20.0
89,,,,,273.0,42.0,15.0
90,,,,,254.0,36.0,23.0
91,,,,,232.0,29.0,12.0
92,,,,,201.0,28.0,10.0
93,,,,,248.0,24.0,21.0
94,,,,,120.0,23.0,18.0
95,,,,,92.0,28.0,12.0
96,,,,,235.0,31.0,20.0
97,,,,,210.0,24.0,11.0
98,,,,,219.0,28.0,21.0
99,,,,,184.0,29.0,14.0
100,,,,,219.0,37.0,15.0
101,,,,,125.0,20.0,10.0
102,,,,,48.0,16.0,11.0
103,,,,,218.0,31.0,9.0
104,,,,,234.0,26.0,9.0
105,,,,,245.0,26.0,9.0
106,,,,,249.0,22.0,11.0
107,,,,,219.0,29.0,13.0
108,,,,,130.0,13.0,5.0
109,,,,,110.0,27.0,5.0
110,,,,,279.0,31.0,7.0
111,,,,,264.0,26.0,3.0
112,,,,,266.0,22.0,13.0
113,,,,,256.0,25.0,6.0
114,,,,,174.0,28.0,5.0
115,,,,,63.0,14.0,5.0
116,,,,,90.0,16.0,3.0
117,,,,,282.0,29.0,5.0
118,,,,,341.0,25.0,4.0
119,,,,,306.0,28.0,4.0
120,,,,,288.0,29.0,8.0
121,,,,,344.0,28.0,6.0
122,,,,,154.0,19.0,2.0
123,,,,,97.0,15.0,4.0
124,,,,,337.0,29.0,4.0
125,,,,,324.0,22.0,3.0
126,,,,,268.0,24.0,7.0
127,,,,,298.0,28.0,2.0
128,,,,,324.0,26.0,3.0
129,,,,,132.0,14.0,4.0
130,,,,,100.0,22.0,2.0
131,,,,,394.0,24.0,5.0
132,,,,,289.0,31.0,1.0
133,,,,,364.0,33.0,4.0
134,,,,,318.0,29.0,3.0
135,,,,,346.0,25.0,3.0
136,,,,,155.0,22.0,8.0
137,,,,,96.0,18.0,6.0
138,,,,,362.0,19.0,1.0
139,,,,,332.0,18.0,3.0
140,,,,,446.0,19.0,3.0
141,,,,,339.0,17.0,3.0
142,,,,,392.0,23.0,2.0
143,,,,,141.0,22.0,5.0
144,,,,,95.0,21.0,3.0
145,,,,,428.0,28.0,3.0
146,,,,,369.0,32.0,2.0
147,,,,,378.0,20.0,4.0
148,,,,,349.0,20.0,4.0
149,,,,,417.0,24.0,2.0
150,,,,,177.0,16.0,3.0
151,,,,,115.0,17.0,2.0
152,,,,,376.0,28.0,1.0
153,,,,,386.0,22.0,4.0
154,,,,,432.0,28.0,2.0
155,,,,,390.0,24.0,4.0
156,,,,,347.0,26.0,3.0
157,,,,,221.0,21.0,5.0
158,,,,,120.0,18.0,3.0
159,,,,,489.0,26.0,3.0
160,,,,,411.0,25.0,1.0
161,,,,,485.0,22.0,5.0
162,,,,,422.0,23.0,3.0
163,,,,,430.0,19.0,5.0
